#,,,,,,"generated_by='OpenQuake engine 3.20.1', start_date='2024-10-18T11:05:59', checksum=3289856554"
site_id,lon,lat,gmv_SA(0.3),gsd_SA(0.3),gmv_SA(1.0),gsd_SA(1.0)
0,1.16730E+02,-3.16700E+01,4.80841E-01,1.28599E+00,2.31144E-01,1.58002E+00
1,1.16740E+02,-3.17100E+01,5.17045E-01,1.27798E+00,2.51815E-01,1.57491E+00
2,1.16750E+02,-3.17300E+01,5.13071E-01,1.27881E+00,2.49525E-01,1.57549E+00
3,1.16760E+02,-3.17400E+01,4.81804E-01,1.32380E+00,1.97056E-01,1.53635E+00
4,1.16770E+02,-3.17700E+01,4.63493E-01,1.32482E+00,1.88964E-01,1.53674E+00
5,1.16780E+02,-3.17900E+01,4.62007E-01,1.29055E+00,2.20564E-01,1.58250E+00
6,1.16800E+02,-3.18000E+01,4.26945E-01,1.29978E+00,2.01196E-01,1.58681E+00
7,1.16800E+02,-3.18100E+01,4.27341E-01,1.29967E+00,2.01413E-01,1.58677E+00
8,1.16810E+02,-3.18200E+01,4.11839E-01,1.30407E+00,1.92987E-01,1.58854E+00
9,1.16810E+02,-3.18300E+01,4.12210E-01,1.30396E+00,1.93187E-01,1.58850E+00
10,1.16810E+02,-3.18600E+01,4.13328E-01,1.30364E+00,1.93792E-01,1.58837E+00
11,1.16800E+02,-3.18700E+01,4.04390E-01,1.32934E+00,1.63155E-01,1.53729E+00
12,1.16770E+02,-3.18900E+01,4.86965E-01,1.28457E+00,2.34610E-01,1.57918E+00
13,1.16770E+02,-3.19000E+01,4.71107E-01,1.32438E+00,1.92323E-01,1.53659E+00
14,1.16810E+02,-3.19600E+01,4.00922E-01,1.30733E+00,1.87107E-01,1.58982E+00
15,1.16810E+02,-3.19800E+01,3.89784E-01,1.31074E+00,1.81151E-01,1.59101E+00
16,1.16800E+02,-3.20100E+01,3.80380E-01,1.31371E+00,1.76159E-01,1.59200E+00
17,1.16810E+02,-3.20400E+01,3.46650E-01,1.32498E+00,1.58526E-01,1.59512E+00
