BRIDGE NO.,LATITUDE,LONGITUDE,HAZUS_CLASS,K3d,Kskew,Ishape,Slight,Moderate,Extensive,Complete
0277,-31.672321,116.727867,HWB24,1.2,1.0,0.0,0.288224812974024,0.08113190994727003,0.06289574990550696,0.015753826906928777
0278,-31.71139,116.740097,HWB3,1.0,1.0,1.0,0.01625067373061215,0.006138549038063579,0.0039007376493064303,0.0007292545308409915
0279,-31.730335,116.748749,HWB3,1.0,1.0,1.0,0.015740239978942833,0.00591474106046177,0.003736617313546785,0.0006918237551664741
0280,-31.743025,116.756004,HWB3,1.0,1.0,1.0,0.0063727576764838045,0.0020915419133862552,0.0011376289679631917,0.00016439473827826494
0281,-31.774843,116.768173,HWB3,1.0,1.0,1.0,0.005341020750336791,0.0017111829777895584,0.0009065624517509577,0.00012543098594931522
0282,-31.787033,116.778809,HWB3,1.0,1.0,1.0,0.0100020250771415,0.0035020434006865463,0.002045280975193285,0.0003324480530476811
0283,-31.804121,116.798302,HWB3,1.0,1.0,1.0,0.0069435649158044385,0.002306263189818027,0.001270938226606083,0.00018767133332249803
0284,-31.807795,116.802605,HWB24,1.2,1.0,0.0,0.2490392412772725,0.060199358171474954,0.0414659551721186,0.008654582197213954
0285,-31.823374,116.812767,HWB3,1.0,1.0,1.0,0.005840123959452038,0.0018938858724849874,0.0010167043399629283,0.0001437735546688195
0286,-31.828354,116.812515,HWB3,1.0,1.0,1.0,0.005865648638465872,0.0019032960194368916,0.0010224207162611908,0.0001447372702893653
0287,-31.857346,116.812103,HWB24,1.2,1.0,0.0,0.23693651995242665,0.05485828155581605,0.036565234981767905,0.007255453532389495
0288,-31.862642,116.807281,HWB3,1.0,1.0,1.0,0.00594327263314998,0.001931952409671504,0.0010398541261762678,0.00014768328257665155
0289,-31.86611,116.800156,HWB3,1.0,1.0,1.0,0.0027697965234609757,0.0008154586017187717,0.00039420812339975277,4.6891463318694725e-05
0290,-31.891968,116.77169,HWB24,1.0074074074074073,1.0,0.0,0.2092583586810654,0.11243739943285624,0.10282730578474261,0.03331019196529225
0291,-31.896427,116.769981,HWB24,1.1,1.0,0.0,0.20732306703859538,0.06612656530488642,0.047166687547048156,0.010388186597563149
0299,-31.964048,116.807487,HWB3,1.0,1.0,1.0,0.0051198068192652236,0.0016310205151154572,0.0008587621741830969,0.00011760956952804058
0300,-31.9792,116.80509,HWB24,1.2,1.0,0.0,0.21514772969354085,0.04617709953559949,0.029067058541915207,0.005282225696563087
0301,-32.014526,116.802162,HWB3,1.0,1.0,1.0,0.003931640763672568,0.0012097989543442523,0.0006134194997789211,7.894256165904754e-05
0302,-32.03923,116.80711,HWB3,1.0,1.0,1.0,0.002418469191527161,0.0007003053644645496,0.00033255414170904856,3.841032299547866e-05
