BRIDGE NO.,LATITUDE,LONGITUDE,VINTAGE,Bridge Length,Spans,SKEW ANGLE,PRIMARY FUNCTION,Pier Type,Support Description,BRIDGE PRIMARY MATERIAL,Superstructure Type,ROAD CLASS,M Truck,Tandem,Triple Axle,Quad Axle,484 Quad Axle,T44 (%),HLP 320 (%),HLP 400 (%),MS 1600 (%),OVERALL WIDTH,WIDTH BETWEEN KERB,NO. OF TRAFFIC LANES,NO. OF FOOTPATHS,Earthquake design,Longest Span,Structure Type,HAZUS_CLASS,K3d,Ishape,Kskew,road
0277,-31.672321,116.727867,1938-01-01,13.98,2,0,Road Bridge,Solid Wall,Simply Supported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,96,85.0,8.4,8.1,2,0,False,6.99,Timber,HWB24,1.2,0.0,1.0,Route 120
0278,-31.71139,116.740097,1939-01-01,6.63,1,0,Road Bridge,Solid Wall,Simply Suported,Timber,Round Timber,3,0.0,18.0,27.0,36.0,36.0,100,0,0,0.0,8.35,8.05,2,0,False,6.63,Timber,HWB3,1.0,1.0,1.0,Route 120
0279,-31.730335,116.748749,1939-01-01,6.71,1,0,Road Bridge,,Simply Suported,Timber Hybrid,Round Timber,3,0.0,18.0,27.0,36.0,36.0,100,0,0,0.0,8.44,8.16,2,0,False,6.71,Timber,HWB3,1.0,1.0,1.0,Route 120
0280,-31.743025,116.756004,1939-01-01,7.52,1,0,Road Bridge,,Simply Suported,Timber Hybrid,Round Timber,3,10.0,18.0,27.0,33.8,36.0,100,100,100,78.0,8.42,8.12,2,0,False,7.52,Timber,HWB3,1.0,1.0,1.0,Route 120
0281,-31.774843,116.768173,1939-01-01,7.24,1,0,Road Bridge,,Simply Suported,Timber Hybrid,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,94,79.0,8.35,8.08,2,0,False,7.24,Timber,HWB3,1.0,1.0,1.0,Route 120
0282,-31.787033,116.778809,1939-01-01,8.93,1,0,Road Bridge,Solid Wall,Simply Suported,Timber,Round Timber,3,10.0,18.0,26.6,29.9,36.0,100,64,56,0.0,8.39,8.1,2,0,False,8.93,Timber,HWB3,1.0,1.0,1.0,Route 120
0283,-31.804121,116.798302,1935-12-12,3.6,1,0,Road Bridge,,Simply Suported,Timber Hybrid,Round Timber,3,0.0,17.5,26.2,34.9,34.9,89,0,0,0.0,8.4,8.1,2,0,False,3.6,Timber,HWB3,1.0,1.0,1.0,Route 120
0284,-31.807795,116.802605,1939-01-01,20.1,2,0,Road Bridge,Solid Wall,Simply Supported,Timber Hybrid,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,89,0.0,8.35,8.05,2,0,False,10.05,Timber,HWB24,1.2,0.0,1.0,Route 120
0285,-31.823374,116.812767,1939-12-30,5.7,1,0,Road Bridge,Solid Wall,Simply Suported,Timber,Round Timber,3,0.0,18.0,27.0,36.0,36.0,100,0,0,0.0,8.35,8.1,2,0,False,5.7,Timber,HWB3,1.0,1.0,1.0,Route 120
0286,-31.828354,116.812515,1939-12-30,7.4,1,0,Road Bridge,Solid Wall,Simply Suported,Timber,Round Timber,3,24.0,24.0,33.0,40.0,46.0,118,98,85,0.0,8.6,8.27,2,0,False,7.4,Timber,HWB3,1.0,1.0,1.0,Route 120
0287,-31.857346,116.812103,1934-01-01,14.25,2,0,Road Bridge,Solid Wall,Simply Supported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,100,0.0,8.38,8.07,2,0,False,7.125,Timber,HWB24,1.2,0.0,1.0,Route 120
0288,-31.862642,116.807281,1937-12-12,7.25,1,0,Road Bridge,,Simply Suported,Timber Hybrid,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,0,0,0.0,8.45,8.15,2,0,False,7.25,Timber,HWB3,1.0,1.0,1.0,Route 120
0289,-31.86611,116.800156,1937-01-01,7.23,1,0,Road Bridge,,Simply Suported,Timber Hybrid,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,0,0,0.0,8.37,8.1,2,0,False,7.23,Timber,HWB3,1.0,1.0,1.0,Route 120
0290,-31.891968,116.77169,1954-01-01,180.2,28,0,Road Bridge,6 timber column bent,Simply Supported,Timber Hybrid,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,100,0.0,10.99,8.22,2,1,False,6.435714285714285,Timber,HWB24,1.0074074074074073,0.0,1.0,Route 120
0291,-31.896427,116.769981,1935-01-01,19.95,3,0,Road Bridge,6 timber column bent,Simply Supported,Timber Hybrid,Round Timber,3,0.0,18.0,25.4,31.7,36.0,99,72,0,0.0,9.92,7.47,2,1,False,6.65,Timber,HWB24,1.1,0.0,1.0,Route 120
0299,-31.964048,116.807487,1939-01-01,7.12,1,0,Road Bridge,Solid Wall,Simply Suported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,0,0,0.0,8.4,8.1,2,0,False,7.12,Timber,HWB3,1.0,1.0,1.0,Route 120
0300,-31.9792,116.80509,1960-01-01,14.1,2,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,100,0.0,8.8,8.19,2,0,False,7.05,Timber,HWB24,1.2,0.0,1.0,Route 120
0301,-32.014526,116.802162,1940-01-01,8.65,1,0,Road Bridge,Driven Timber Pile,Simply Suported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,0,0.0,8.47,8.15,2,0,False,8.65,Timber,HWB3,1.0,1.0,1.0,Route 120
0302,-32.03923,116.80711,1939-01-01,7.7,1,0,Road Bridge,Driven Timber Pile,Simply Suported,Timber,Round Timber,3,10.0,18.0,26.1,31.9,36.0,100,88,78,0.0,8.88,8.26,2,0,False,7.7,Timber,HWB3,1.0,1.0,1.0,Route 120
